lead_day,domain,threshold,model,categorical_forecast_source,categorical_event_rule,probabilistic_score_source,bss_reference,n_init,n_samples,n_events,base_rate,H,M,F,CN,POD,FAR,CSI,brier_score,bs_climatology,brier_skill_score,sum_squared_error,sum_clim_squared_error
Day2,CONUS,1inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492766,14436,0.02929585239241344,1316,13120,1772,476558,0.09116098642283181,0.5738341968911918,0.08119447186574531,0.02523689682897657,0.028005236324459774,0.09885078145422888,12435.884702827469,13800.028282658745
Day2,CONUS,1inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,37,492766,14436,0.02929585239241344,1154,13282,1752,476578,0.07993904128567471,0.6028905712319339,0.07128737336298492,0.02630012521700975,0.028005236324459774,0.06088543898345111,12959.807502685027,13800.028282658745
Day3,CONUS,1inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,479448,13685,0.02854324139427008,826,12859,769,464994,0.06035805626598466,0.48213166144200625,0.05714681057146811,0.024831620937824497,0.027315380562551075,0.09092897750550732,11905.47099539808,13096.304579953989
Day3,CONUS,1inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,36,479448,13685,0.02854324139427008,864,12821,1054,464709,0.06313481914504933,0.5495307612095933,0.05861998778750255,0.025550005559245643,0.027315380562551075,0.06462933947644611,12249.899065369205,13096.304579953989
Day4,CONUS,1inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,466130,13890,0.029798554051444878,785,13105,1235,451005,0.056515478761699066,0.6113861386138614,0.05190082644628099,0.026071851399978724,0.02844028439205329,0.08327740185102883,12152.872093072083,13256.869763667799
Day4,CONUS,1inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,35,466130,13890,0.029798554051444878,852,13038,1393,450847,0.061339092872570194,0.6204899777282851,0.055748216973107376,0.026621147996381305,0.02844028439205329,0.06396336867082386,12408.915715553218,13256.869763667799
Day5,CONUS,1inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,452812,13190,0.029129086684981847,131,13059,263,439359,0.009931766489764973,0.6675126903553299,0.009737604995168365,0.026554865904127402,0.027885135197375864,0.04770531983555337,12024.361939779737,12626.72383899416
Day5,CONUS,1inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,34,452812,13190,0.029129086684981847,264,12926,598,439024,0.02001516300227445,0.6937354988399071,0.019147084421235857,0.027095667738250773,0.027885135197375864,0.02831140869632165,12269.24349989281,12626.72383899416
Day6,CONUS,1inch,ANN-CSGD,distributional_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,10620,0.029533964058667466,0,10620,0,348966,0.0,,0.0,0.027128435519221745,0.028281960298523284,0.04078659212889746,9755.00561461487,10169.796975904794
Day6,CONUS,1inch,raw_GEFS,ensemble_mean,mean_precipitation_ge_threshold,exceedance_probability,historical_mrms_event_frequency_climatology_2020_2025_monthly_24h_12z12z,27,359586,10620,0.029533964058667466,88,10532,252,348714,0.008286252354048965,0.7411764705882353,0.008094186902133923,0.027627184026841042,0.028281960298523284,0.023151728691042317,9934.348595475663,10169.796975904794
